Title,Content,Date,Score,Username,Location,Contribution,Travel with,Review of
Excellent tour,Minh was a great tour guide.  He was able to accommodate my vegetarian diet.  All stops provided delicious food.  Would definitely recommend this your!,"September 13, 2024",5.0,Julia S,,1,Couples,Hanoi Street Food Tour with local delicacies
What a fantastic way to start in Hanoi!!,"Minh was an amazing and knowledgable  guide.  He took us to places we would never have found, and the food was spectacular!","September 11, 2024",5.0,Michael G,,4,Couples,Hanoi Street Food Tour with local delicacies
Long is the best!!,Long is the best tour guide. He makes you feel very comfortable and being a solo traveler it made all the difference. He gives you the history behind the food and the proper way to eat it. I would definitely recommend this tour!,"September 11, 2024",5.0,Jordan E,"Dallas, TX",17,Solo,Hanoi Street Food Tour with local delicacies
Coffee course,Great way to start the day. Jennifer is an excellent teacher with a lot of background infos a Hanoi’s coffee culture. Lots of coffee to make and try.,"September 11, 2024",5.0,Barbara F,,1,Solo,Hanoi Street Food Tour with local delicacies
Delicious tour of the old quarter,"We had an excellent tour with Long, who was a great guide. Delicious food at every stop, and non-meat alternatives for those who wanted them with very few exceptions. Definitely recommend.","September 11, 2024",5.0,James G,,1,Couples,Hanoi Street Food Tour with local delicacies
Great time touring Hanoi!,"Luong was fantastic, so great and made us feel like friends! He took us to all the best spots and we got to experience more local spots than we would have found on our own. Would highly recommend anyone taking a tour with him!!","September 11, 2024",5.0,Samara W,,1,Couples,Hanoi Street Food Tour with local delicacies
Excellent,"Long clearly loves his country and wants tourists to experience the best of Hanoi. Many and varied foods and beverages on this tour with relevant history additions. Never rushed and I truly felt like a friend of Long's, rather than a customer. Highly recommend.","September 10, 2024",5.0,wooki481,"Auckland, New Zealand",81,Solo,Hanoi Street Food Tour with local delicacies
Delicious Vietnamese cuisine,Long was exceptionally knowledgeable of different Vietnamese cuisines as well as the history of Vietnam. He ensured our safety when crossing the busy streets and always made sure we were comfortable during our tour. Each different meal we tried was delicious even though we were pretty full by the end.,"September 10, 2024",5.0,lachlan,"Birkdale, Australia",4,,Hanoi Street Food Tour with local delicacies
"Food, Train and Everything In Between","Kenny our tour guide was awesome, despite the rain, his enthusiasm to show us around the old Quarter remained top notched.  Each food came with a story which made the tour even better. As we walked around the old quarter and Train Street, Kenny always checked in  on us each step of  the way. He spoke very good English and I highly recommend this tour to anyone visiting Hanoi. We had a full belly by the end of the night. Thank you Kenny and for the additional foodie recommendations.See you at your parents restaurant.","September 9, 2024",5.0,ricarmarie7,"Sydney, Australia",3,Couples,Hanoi Street Food Adventure: Train Street & Local Delights
Don’t eat before this fabulous tour!,"Our great guide, Long,  was happy to answer all our questions. Very funny. The food at every stop was amazing and so much food. Met some lovely people at each stop and on our tour group. Definitely do this tour!!","September 9, 2024",5.0,Dee29,,13,Friends,Hanoi Street Food Tour with local delicacies
Highly recommended!,Amazing food! Lovely and and informative  guide!  Long kept our stomachs full with everything one would need. He made us familiar with the most famous food and showed how Vietnamese people live. Highly recommended!,"September 9, 2024",5.0,Flyer60650765118,,3,Solo,Hanoi Street Food Tour with local delicacies
Definitely recommended!,Great food tour with our very friendly tour guide Rik. A lot of variety in different kind of traditional street food. Thank you for the wonderful tour!,"September 9, 2024",5.0,Ruben v,,1,,Hanoi Street Food Tour with local delicacies
Amazing food tour,"The food tour was lovely. Our host Long took us to many food locations and explained the history of the food and Hanoi to us! Lots of fun  and enjoyed the food.
              
              Many thanks","September 8, 2024",5.0,Tracy M,,1,Family,Hanoi Street Food Tour with local delicacies
Very good,Minh was very friendly and gave us lots of information. The food was great too with lots of variety. Would definitely recommend.,"September 8, 2024",5.0,Alex E,,1,Couples,
Best start of your visit to Ha Noi,"The best I could do! Book this tour at the bezinning of your stay in Hanoi and you'll benefit from it the rest of your stay.
              

              Minh guided us almost 3 hours through the old city and we visited 8 local Street Food spots, you'll otherwise not discover by your own.
              

              We talked not only about foods, also history, culture and economics.
              

              Very, very interesting and a tip for everyone visiting the first time Hanoi.","September 7, 2024",5.0,Harry J,,1,Solo,Hanoi Street Food Tour with local delicacies
Amazing experience......,"our tour guide minh do was the best tour guide we could have had. very friendly, kind and ready to solve all our questions about the culture of the people. the impressive thing besides the food was that he took us to some ""secret"" places that as a tourist you will never discover, I highly recommend it....","September 7, 2024",5.0,Νικόλας Κ,,7,Friends,Hanoi Street Food Private Tour
"We absolutely loved our food tour with Minh. Seriously, do not miss this tour & request him as your guide!","We have been in Vietnam for over a month and felt relatively nonplussed about the local fare but we booked a tour so our visiting friend could experience all of the tastes as soon as she landed for a short stay. We were completely blown away by what he showed us. Everything he took us to was FAR tastier, higher quality, and more local than what we had previously had. It wasn't just the standard fare either. He took insane caution when choosing foods that could fit my dietary needs, too. I am pescatarian and can't eat eggs but more importantly have a severe MSG allergy, which is nearly impossible to navigate in Vietnam. He absolutely took care of me and found foods that were safe for me to eat. Minh, you're the best!","September 7, 2024",5.0,Hayden B,,2,Friends,Hanoi Street Food Tour with local delicacies
Amazing food experience,We really enjoyed this tour. We had been in Hanoi for a few days so wasn't sure if we needed a food tour but we definitely did. We enjoyed amazing food and flavours and wouldn't have found these places on our own. Rik was really informative and was able to get some history into the tour..The food was really gorgeous and the people we met on the tour were lovely,"September 6, 2024",5.0,Emoireland,ireland,5,Couples,Hanoi Street Food Tour with local delicacies
Great experience,"Long was an amazing tour guide. He not only showed us some of the best food i’ve ever eaten, but he also informed us about the local culture and history. I would highly recommend this to anyone looking to eat and learn!-","September 6, 2024",5.0,Tom M,,2,Solo,Hanoi Street Food Tour with local delicacies
"Long is awesome, best food tour",Really great food tour and I dont eat red meat but really made is Enjoyable for me aswell. Would defiantly recommend he was also very kind and informative,"September 6, 2024",5.0,Kayleigh F,,2,Friends,Hanoi Street Food Tour with local delicacies
"Great guide, great food","A perfect start to our trip. We arrived in the morning and organised this food tour with our hotel as a way for us to get taste for the food and explore the area.
              

              Our guide was Minh and he was fantastic. He arrived on time, his English was great and we had a good laugh with him trying all the different places. He was also really open to answering my questions about the culture and history of Vietnam as a whole along with the questions around the cuisine.
              

              I can’t recommend the tour and Minh enough if you’re looking to explore the area and get a taste for several different dishes.","September 3, 2024",5.0,199adamd,,10,Couples,Hanoi Street Food Private Tour
Hanoi Street Food Tour with Ric,"We loved this tour with Ric. He was a delightful tour guide who made our tour so much fun. He took us to local street food vendors offering beautiful local cuisine and shared lots of knowledge about local culture, our tour finished at Train Street for another must do experience","September 3, 2024",5.0,BernieN64,"Island of Malta, Malta",45,,Hanoi Street Food Tour with local delicacies
perfectly planned day,"the trip was just perfect ! since we took private tour , our guide, jenny planned it perfectly . we got to see the train pass by during the day as per our preference and then had loads of food which otherwise we woudnt have known on our own. thank alot and fully recommend. Thank you kenny","September 2, 2024",5.0,Fearless32815598197,,2,Friends,Hanoi Street Food Adventure: Train Street & Local Delights
Walking food tour,This food tour with Long was an absolute delight. Our guide was very knowledgeable of the local spots. We tried many foods that weren't as common amongst regular Vietnam food flare. It's not very much walking at all. All of the shops are in close proximity to one another. You can't miss this very unique food experience! Go hungry!!,"September 2, 2024",5.0,Earraina K,,7,Family,Hanoi Street Food Adventure: Train Street & Local Delights
A must do on day 1 of Hanoi visit.,"A wonderful variety of local delicious delicacies. During the walking portions (which were necessary to digest all of the delicious foods we tried), we were taken at a reasonable pace not too overwhelming in the Hanoi hot weather. We stopped even with air conditioning at 2 spots! We had beer and kumquat sugar cane juice as well as deserts.
              

              Rik (Long) is the best guide for a small, English speaking tour experience. Highly recommend!!","September 2, 2024",5.0,nolababe28,,6,Family,Hanoi Street Food Adventure: Train Street & Local Delights
Very nice food tour🤩,"Delicious food and great guide, thank you Long! It was great to learn more about the local food and the background around it😊","September 2, 2024",5.0,Andreea D,,3,Couples,Hanoi Street Food Adventure: Train Street & Local Delights
Great food,Minh was a great guide with knowledge about old quarter that shocked us. He brought us to authentic spots where each vendor specialized in one dish. It was fantastic.,"September 1, 2024",5.0,Dominique S,,2,Solo,Hanoi Street Food Tour with local delicacies
Wonderfull food adventure,"Rik Long is a wonderful guide with a positive personality. He brought us to try 8 local dishes, all delicious. We ended the night relaxing and watching the train go by. Rik responsibly ensured we were safely on our way back after as well.","August 31, 2024",5.0,LeslieChai,"Kuching, Malaysia",13,,Private Hanoi Food Tour with Train Street and Local Delights
A fabulous food and cultural experience with Long (Rik),"We had an eye opening experience with Long (Rik) who took us on a food adventure through the streets, including the back streets of the old quarter.  Not only were we introduced to traditional dishes and snacks, plus stories of their origin, we were also shown the inner streets where the locals live.  We saw the small alleys and peeped into the houses like cubby holes with stairs where you least expect them.  It was a paradigm shifting experience, to observe in real life the resourcefulness of these lovely people.  The food was or course amazing and we were really so full and happy.  Would recommend Long for sure!!","August 31, 2024",5.0,Dianne T,,12,,Private Hanoi Food Tour with Train Street and Local Delights
The Special Food Tour with amazing experience! Must try,"It was an excellent food tour that I had ever attended this year. I am a Hanoian, was born and living in Hanoi for more than 27 years, I knew this city very clearly but Mr. Minh and his Tour gave me a lot of experience. Not only food but also brings a lot of useful information about the country's culture, people and history,... Mr. Minh (same as my name) is the young talent Guide, very enthusiastic, attentive and funny. He impressed me and brought a lot of emotion during the trip. He also shared a lot of tips for traveling in Vietnam, which was very helpful. Trust me, you will not regret joining this Tour product.","August 31, 2024",5.0,NguyễnMinh97,"Hanoi, Vietnam",10,Couples,Hanoi Street Food Tour with local delicacies
"Highly recommended 1st activity in Vietnam, make the best of the rest","brilliant, beyond words to describe the experience of walking and talking with a very knowledgeable and extremely well-versed young man as our guide. His knowledge, presentation and fun interactions were one of the best highlights of our trip. I highly recommend this service on your 1st night or day to get a fantastic insight into Vietnam and getting the best out of your touring experience. The local knowledge and insights were invaluable to making our experience so memorable.","August 30, 2024",5.0,tamara c,"Melbourne, Australia",3,Family,Hanoi Street Food Tour with local delicacies
Fun fabulous food tour of the Old Quarter,"We were hosted by Minh Do who immediately made us feel welcomed and relaxed. Minh has a wonderful knowledge and experience in picking hidden gems and Hanoi hot spots. Everything we tasted was superb, and we had great conversation and interaction with Minh and our party of 4 guests. Minh was fun and informative and he followed up with some excellent referrals for food and activities in Hanoi and beyond. We thoroughly enjoyed the tour and considered it great value for money.","August 29, 2024",5.0,Dream43932343535,,8,,Hanoi Street Food Tour with local delicacies
Hanoi Street Food Tour,"Cherry did a great job with our tour today
              
              She was very engaging explaining the food we were eating and also about the Vietnamese culture","August 28, 2024",5.0,Sam B,,2,Couples,Walking Tour in Hanoi Old Quarter with Street Food & Coffee
Old Quarter Street Food Tour,"We had a wonderful lunchtime street food tour with our lovely guide Cherry. All the places were a short walk apart in the old quarter, my favourite dishes were the dried beef salad and summer rolls. I highly recommend this tour to any travellers in Hanoi.","August 28, 2024",5.0,Adam R,,18,,Hanoi Street Food Tour with local delicacies
Great food tour,Amazing tour. Our guide Minh was fantastic very knowledgeable and chose great places to go. We have been back to some of his recommendations. Would definitely recommend this tour.,"August 28, 2024",5.0,Christine1000,"Auckland, New Zealand",17,Couples,Hanoi Street Food Tour with local delicacies
Tasting culinary delights like a true local,"We had a great time with Long exploring the streets of Hanoi and getting to taste traditional food, like a local would.
              
              Highly recommend this being on your bucket list for Hanoi. And if you get Long, you will finish the tour with a new good friend!","August 28, 2024",5.0,Hilary M,,11,Solo,Hanoi Street Food Private Tour
Small Group Food Tour in Hanoi,"Best way to start your adventure in Hanoi. Our food  tour guide, Sandy,  was very accommodating and she brought us to authentic places! We had the dry pho, sticky rice, pancakes, spring rolls, banh counh and dessert!!! It was perfect first night in Hanoi! Highly recommended!","August 27, 2024",5.0,Maria S,,14,,Hanoi Street Food Tour with local delicacies
Great food tour to sample some of Hanoi’s specialties,"This was an excellent food tour that gave you plenty of different foods to try. We did this tour on our first morning  in Hanoi and it was a great way to see what we liked and what we didn’t. Our tour guide Mr Long was informative , helpful, knowledgeable and had a great sense of humour. Would definitely recommend","August 27, 2024",5.0,Tanya m,,7,,Hanoi Street Food Private Tour
Good traditional Hanoi Food by the Cool Cherry,Our walking food tour with Cherry was amazing! She was so impressive especially with our 7 year old and had no difficulty making sure we were ok the entire time. She explained things well and was thoughtful. We loved this part of our trip in Hanoi.,"August 26, 2024",5.0,Hazel H,,2,Family,Private kid-friendly Hanoi food tour with a taste of great dishes
A must Food Tour:),Amazing experience. Ming is such a sweetheart and a very good storyteller. You made our day mate. Great and authentic Vietnamese food!! 10 points from Germany:),"August 26, 2024",5.0,JuleMom,,5,Couples,
My favorite activity I've done in Vietnam,"This was freaking awesome! Sooo glad I booked this trip! So much so, I booked another for lunch as my first was for dinner and the tours can have different places. Minh was very informative, funny, and knowledgeable.
              

              I HIGHLY recommend doing this your 1st day in Vietnam to learn new foods you want to eat on your trip and how to safely eat from street food.","August 26, 2024",5.0,Dana D,,4,Solo,
Street food walking tour,"Long is very friendly and always watch out for our safety
              
              Food is good but the pomegranate juice is best so is the coconut and egg coffee,not forgetting the home brew beer.He wants us to take our time to taste the food and  give our comments.
              
              Very accommodative, when we stopper to buy something which caught our eyes .
              
              Good to have him around as help us to not let food go to waste as food ordered are too much for us though the portion has been reduced already.
              

              Overall we have a wonderful time together .From Lian Tan","August 25, 2024",4.0,GoPlaces00811675351,,4,Family,Hanoi Street Food Private Tour
Unique Experience,Food was amazing especially thanks to our food guide Minh. He brought us to many places and hidden gems we would not ha e discovered without him. The tour was really worth it and the amount of food was too generous.,"August 24, 2024",5.0,Yiew J,,3,Family,
10/10 experience!,"The food tour hosted by Minh was one of the highlights of our trip. The food we ate were all so delicious. I had the best bun cha at a place Minh took us to during our tour. We also really appreciated the time that Minh took to share knowledge about the power of street food and providing perspective into Vietnamese culture.
              
              Thank you for such a wonderful experience!","August 24, 2024",5.0,jasmine R,,3,Couples,
Great time. Awesome guide.,"Minh (our guide) was really lovely and warm. Had a great time tasting the food and hearing about their stories.
              
              Would probably not recommend for vegetarians though.","August 23, 2024",5.0,MV,"New Delhi, India",1,,Hanoi Street Food Tour with local delicacies
A must try experience,"It was my first time in Vietnam and I wanted to try all kinds of food in here. I decided to book a food tour with these folks and it was completely worth it. We started at the hostel I was staying in Old Quarter, Hanoi and I assumed that I am going to visit all the places I have been seeing on Instagram. But to my surprise, Long, our food tour guide, took us to inner parts of Old quarter, which was quieter and less crowded. We had Fried Fish Noodles, Summer roll(which we were taught to make), fried Spring Roll, Fried Sweet Donut, Banh Mi (Vietnamese sandwich), Bún chả and Local beer. All these were from different local restaurants across Old quarter which we couldn’t have found out by ourselves. We also had egg coffee and coconut coffee which I thought would be weird after having so much food and beer, but it wasn’t at all. The entire walk was properly planned and we felt very light even after eating so much. And it wasn’t just the food. We also discovered a lot about Vietnamese culture, history, people, the language, all thanks to Long. We ended the tour with coconut ice cream with fresh mango pieces. It was so flavourful and not just sweet. Long also helped me to plan my upcoming schedule in Hanoi. Thanks folks for such a beautiful experience.
              

              PS. I love Vietnamese people, they are amazing ❤️","August 23, 2024",5.0,Saigita G,,3,Friends,Hanoi Street Food Tour with local delicacies
Minh’s Tour: Amazing Food!,"Minh’s tour was an absolute delight! He was entertaining, witty, and very kind, making the whole experience enjoyable. Minh really knows his food and took us to hidden gems I would never have found on my own. Every dish was delicious, and the tour was a fantastic way to explore local cuisine. Highly recommend this tour!","August 22, 2024",5.0,Ichie A,,2,Solo,
Wonderful five star authentic street food tour with Minh,"We had an Amazing food tour with the fabulous Minh! We discovered some wonderful hidden spots that we never would have gone to, and every dish was authentic and delicious. And Minh’s insights and irreverent commentary on the food, culture and history of Vietnam were the icing on the cake. We’ll definitely go again.","August 21, 2024",5.0,Colin,"New Delhi, India",15,Couples,Hanoi Street Food Tour with local delicacies
A Must-Do In Hanoi,"Our host Dominic was amazing! He showed us so many different street food locations that we would never have found without his help, and everything was so delicious! Not only did he provide advice about food, but he provided us with a history on Vietnam and the food we were eating which was so interesting. He also provided suggestions on ways we could spend our time in Vietnam and went above and beyond what I expected on the tour. Dominic also helped to make our friends birthday special by secretly suggesting a bakery I could get a cake to surprise my friend with. I am very grateful and would highly recommend this tour!","August 20, 2024",5.0,Bethan Breeze,"Busan, South Korea",5,Friends,
Great guide and food!,Had a great time with Minh on our walking food tour today! We visited many authentic street food locations and Minh was able to provide a bunch of interesting information about the food and Hanoi itself. It was really appreciated that our vegetarian dietary requirement was catered for too! Will definitely be recommending this tour to others!,"August 19, 2024",5.0,Rickie M,"Lower Hutt, New Zealand",3,Couples,
Unforgettable experience,"An unforgettable experience. It was three hours of fellowship as if we were old friends, tasting some of the most delicious dishes of Vietnamese cuisine. Long was fantastic!!!","August 18, 2024",5.0,Luiz Felipe Sinay,"Sao Paulo, SP",80,,Hanoi Street Food Private Tour
A delicious morning full of flavors!,"Very interesting experience! We’ve
              
              Know typical food places that we wouldn't know if we weren't with on Rik!
              
              And he taught us how to eat! it went really well!","August 18, 2024",5.0,Patricia A,"Rio de Janeiro, RJ",72,,Hanoi Street Food Private Tour
Authentic tour with our guid Long,"Our guide Long gave us a long tour through the streets & food culture of Hanoi. We ate delicious food at hidden spots we wouldn't have found ourselves.
              
              Long introduced us to authentic food and gave us a lot of interesting background information. He treated us as friends, not customers.","August 17, 2024",5.0,Maximilian S,,1,,Hanoi Street Food Private Tour
Best Food Tour in Hanoi - Must Try,"The tour was exceptionally well curated with a bunch of great food options scattered around the streets of Old Quarter (Hanoi). Our guide, Mr Minh - was not only a great food connoisseur but was well informed of the rich history and culture of Hanoi/Vietnam. Through witty and funny anecdotes - he took us through a bunch of topics relevant to the city and its history/culture/love for great food. He communicates really well in English - so it was very easy to follow/understand him. Further, group being small - gave it a very personal touch. Highly recommended tour - 10/10!!","August 15, 2024",5.0,Saranya,,3,Friends,
Food tour review,We absolutely loved our food tour with Cherry. What really made this special was her attention and care to us and our young son. She became his big sister on our tour and was so knowledgeable about Vietnam and its amazing cuisine. We highly recommend this tour and Cherry in particular,"August 11, 2024",5.0,Trini Tash,Bermuda,1,,Private kid-friendly Hanoi food tour with a taste of great dishes
Great Experience,We had a great experience and having egg coffee on train street toped it off. Our guide Kenny was fantastic and look us to a variety of food outlets which enabled us to try several different dishes and. desert.  He was a very knowledgeable and helpful young man.,"August 11, 2024",5.0,Barry H,"Greater Sydney, Australia",5,Family,Hanoi Street Food Adventure: Train Street & Local Delights
"Great food, Great company","We had an amazing time with our very charismatic tour guide, Minh Do! All the food we tired was incredible and he was very accommodating to any dietary restrictions people had. Along with great food, he gave us very helpful advice on what to do and where to go while we’re in Vietnam. I fully recommend anyone coming to Hanoi to do this tour!","August 11, 2024",5.0,Melanie H,,1,Friends,Hanoi Street Food Tour with local delicacies
Very fun and tasty tour,Tour was very inciteful and fun. Minh was very welcoming and knowledgeable about the old quarters history and culture. He recommended excellent food to try during the tour.,"August 11, 2024",5.0,Senith D,,4,Friends,Hanoi Street Food Tour with local delicacies
Evening food  tour with Jenny.,Jenny was our food tour guide and she took us to some amazing local cafes/restaurants to try  their food. All of the food was delicious. We really enjoyed walking around the old quarter too. This is the BEST way to try all the local food.,"August 11, 2024",5.0,Lecia M,,8,,Private kid-friendly Hanoi food tour with a taste of great dishes
Amazing food tour and experience,We did the ‘small group Hanoi food tour with a real foodie’ Minh was a wonderful guide! The food was incredible and so was the local knowledge. Thank you for a memorable tour and for showing us your amazing town and culture.,"August 10, 2024",5.0,Eleanor H,,2,Couples,
Great way to learn about Old Quarter,"Our tour guide Minh was amazing, friendly, fun and knowledgeable. Had some great tips about navigating street food and most importantly showed us some awesome food! Highly recommend on first day in Hanoi as a great way to learn about where to go. Minh also generously shared lots of great recommendations also.","August 9, 2024",5.0,Ryan S,,2,Couples,Hanoi Vegan Walking Street Food Tour in Old Quarter
Great food tour!!!,"Minh is an amazing guide. He was very funny, easy going, open and welcoming. He took us to the best food places and wrote us an email with great recommendations for other places and things to do!
              
              All in all the tour with Minh was a great experience!","August 9, 2024",5.0,Pleun B,,1,Friends,Hanoi Street Food Tour with local delicacies
Hanoi food your with Cherry,"Cherry was absolutely fantastic, this was one of the highlights of our whole tour, she was so accommodating and helped take care of our 1 and a half year old while we ate, such a fantastic person!","August 7, 2024",5.0,Jasmine D,,1,Family,Private kid-friendly Hanoi food tour with a taste of great dishes
Excellent food tour with Minh,"A trip to Hanoi isn’t complete without this tour with Minh. Minh was kind, funny and gave an interesting insight into Vietnamese culture. The food was next level. An excellent experience and would highly recommend.","August 6, 2024",5.0,Nithu S,,3,Solo,Hanoi Street Food Tour with local delicacies
True Taste of Vietnam 🇻🇳,"Great street food tour! Minh was an excellent guide and catered to our personal preferences and dietary needs. We made 7 stops, leaving full and satisfied. Thank you for showing us an authentic taste of Vietnam! Recommend to all!","August 6, 2024",5.0,Monica E,,5,Family,Walking Tour in Hanoi Old Quarter with Street Food & Coffee
Must-try first stop in Hanoi,"This should be your FIRST stop in Hanoi!
              

              Our guide Minh brought us to 5 or 6 stops, trying different tasty foods while speaking to us about the local life and food of Vietnam. The atmosphere was friendly and funny with Minh and the others on the tour (6 in total).
              

              Not only was it great value for money but it was a fantastic opportunity to learn about the city from a local who was honest about what was worth visiting and what was not.","August 4, 2024",5.0,Conor R,"Dublin, Ireland",3,,Hanoi Street Food Tour with local delicacies
A fabulous food tour- a MUST do in Hanoi.,"A must do in Hanoi- our best trip .
              
              We had a great evening with CHERRY. She picked us up at the hotel and was eager to share the culinary delights of Hanoi with us. She guided us round the busy streets safely giving us anecdotes about history and culture and tips for tourists. Each food course was absolutely delicious and dishes we would never have found or been brave enough to try without her guidance. We spent a really happy evening tasting, drinking and learning about this wonderful country. At the end of the evening she escorted us back to the hotel safely before saying goodbye. Thank you Cherry - we will always remember eating delicious Vietnamese food with you. ❤️🫶","August 3, 2024",5.0,GirlfromBarnes,"London, UK",45,,Hanoi Street Food Tour with local delicacies
Job Well Done Kenny..,"Kenny Did Realy Well On Street Food Walking With Train Street..
              
              Kenny Very Knowledgeable About The StreetS Of Hanoi Vietnam..
              
              5 Stars Service..","July 31, 2024",5.0,Riaz V,,3,Family,Hanoi Street Food Adventure: Train Street & Local Delights
Fantastic experience,"Tom was a brilliant guide, taking us to great local spots and explaining the history behind each dish we were trying. Would 100% recommend!","July 31, 2024",5.0,NiallMackle,,2,Couples,Hanoi Street Food Tour with local delicacies
Lovely night in old Hanoi,Cherry was a fantastic guide. Not only did she talk us through the  Vietnamese dishes that we had but also gave us an account of the lifestyle and customs of the region and country . Thank you Cherry for a beautiful night in the food kitchens of the old quarter in Hanoi,"July 29, 2024",5.0,Michael D,,13,,Hanoi Street Food Tour with local delicacies
10/10,"Super fun and tasty, Minh did a good job of having us try tons of dishes, all of different variety. Included a few dessert stops and a couple of drinks. Water is always free! Definitely recommend for a good food tour in Hanoi!","July 29, 2024",5.0,Trip20752612786,,6,Solo,Hanoi Street Food Tour with local delicacies
Great food tour!,"Cherry was absolutely amazing. So kind and very thorough with descriptions of Vietnamese food, culture, and history. The food was delicious, clean, and things we haven’t yet had on our weeks in Vietnam. Highly recommend.","July 29, 2024",5.0,Samuel C,,4,,Hanoi Street Food Tour with local delicacies
Excellent food tour,Excellent food tour. Cherry is a fantastic guide with a lot of knowledge of the food and willing to help with any questions. Highly recommend Cherry and this tour.,"July 28, 2024",5.0,mandp141,"Gippsland, Australia",207,,Hanoi Street Food Tour with local delicacies
Great experience,We really enjoyed the street food tour. Ming was great guide who introduced us to some delicious food and shared his extensive knowledge with us. The tour was fun!,"July 27, 2024",5.0,Thelma T,,2,Couples,Hanoi Street Food Tour with local delicacies
Great food tour,"I had a great experience with the local food and gain a lot of knowledge about the local culture. Our tour guy Minh Do was a fantastic guide, he explained the background of each dish and show us the local way to eat the dish.
              
              I had a great time chatting with him and learn more about the life of street food vendors.
              
              At the end of the tour, he also sent us a list of recommendations and tips for avoiding scammers which are super helpful.","July 27, 2024",5.0,OnAir25342138502,,2,Solo,Hanoi Street Food Tour with local delicacies
Nice food tour,"Good food all throughout the tour. My favorite was the dry pho, super delicious. The desert was also great.
              

              Our tour guide Cherry did an excellent job.","July 27, 2024",5.0,Johan S,"Lund, Sweden",18,,Hanoi Street Food Tour with local delicacies
Tasty food,Tasty food and went to lots of places and got to try lots of dishes I wanted to. The tour was also very informative. and Cherry was a great tour guide!,"July 27, 2024",5.0,Jolene T,,3,Solo,Hanoi Street Food Tour with local delicacies
Such a fun way to eat and feel like a local!,"Such a special way to see the city, try food you normally wouldn’t explore on your own, felt safe and got to eat like a local! Ming was an incredible and hilarious guide, thank you!!","July 27, 2024",5.0,Alexandra S,"Toronto, Canada",16,Solo,Hanoi Street Food Tour with local delicacies
Super Hanoi Food Walking Tour!,We really enjoyed the Hanoi Food Walking Tour with iur guide Tom. It was great tasting all the local Hanoi Food! Delicious food and egg coffee! Thank you so much Tom for a great evening!!,"July 27, 2024",5.0,Annechien K,,5,,Hanoi Street Food Private Tour
